days,temp_smooth,anomaly
0.00,-3.23,2.79
1.00,-5.77,-1.57
2.00,-8.31,-4.06
3.00,-8.86,-10.39
4.00,-9.01,-15.45
5.00,-8.39,-15.43
6.00,-7.21,-1.37
7.00,-5.61,1.90
8.00,-3.47,2.90
9.00,-0.77,4.17
10.00,-0.11,1.00
11.00,-0.44,-0.27
12.00,-1.11,3.58
13.00,-1.86,3.25
14.00,-1.47,-0.37
15.00,-0.84,-1.80
16.00,-1.09,-1.09
17.00,-1.46,3.40
18.00,-0.91,3.71
19.00,-0.30,1.09
20.00,-0.11,-0.71
21.00,-0.81,1.58
22.00,-0.77,0.79
23.00,-0.46,-1.12
24.00,-0.09,-2.41
25.00,-0.14,3.68
26.00,-0.01,3.61
27.00,0.33,2.89
28.00,0.79,2.82
29.00,0.40,3.20
30.00,0.14,2.16
31.00,0.09,1.22
32.00,-0.36,0.88
33.00,-1.54,1.47
34.00,-3.30,2.06
35.00,-4.47,-0.93
36.00,-5.80,-5.81
37.00,-6.96,-10.49
38.00,-7.79,-7.03
39.00,-7.81,-8.38
40.00,-6.56,-6.53
41.00,-4.20,-3.38
42.00,-2.94,-0.56
43.00,-1.43,3.74
44.00,-0.03,6.59
45.00,1.01,2.17
46.00,1.71,2.63
47.00,1.56,3.58
48.00,0.57,4.01
49.00,-0.09,4.45
50.00,-0.26,2.80
51.00,-1.23,-0.09
52.00,-2.30,-2.44
53.00,-2.90,1.02
54.00,-3.29,-3.92
55.00,-2.63,-4.63
56.00,-1.76,-1.28
57.00,-1.44,-1.78
58.00,-0.56,2.51
59.00,-0.01,1.84
60.00,-0.33,1.87
61.00,-0.60,1.20
62.00,-1.31,-1.53
63.00,-1.50,-3.90
64.00,-1.54,-3.85
65.00,-1.47,-2.53
66.00,-0.90,0.51
67.00,-0.43,1.34
68.00,0.26,1.37
69.00,0.76,2.09
70.00,1.27,-1.35
71.00,1.59,-0.26
72.00,1.67,-0.40
73.00,1.59,2.71
74.00,1.80,2.39
75.00,1.74,1.03
76.00,1.89,0.63
77.00,1.67,-0.48
78.00,1.54,-1.04
79.00,1.33,0.09
80.00,1.37,0.54
81.00,1.97,0.49
82.00,2.89,-1.64
83.00,3.00,-0.31
84.00,2.73,2.51
85.00,2.31,4.19
86.00,2.27,-0.19
87.00,2.21,-2.23
88.00,2.14,-3.05
89.00,1.63,-2.30
90.00,1.83,-0.84
91.00,2.24,2.08
92.00,2.97,0.81
93.00,3.53,1.62
94.00,3.79,1.09
95.00,3.70,2.46
96.00,4.13,1.75
97.00,4.20,0.93
98.00,3.99,1.25
99.00,3.49,3.49
